 0.0000e+00	 1.0000e+02
 5.0000e-04	 1.1250e+02
 1.5000e-03	 1.3550e+02
 2.5000e-03	 1.5650e+02
 3.5000e-03	 1.7550e+02
 4.5000e-03	 1.9250e+02
 5.5000e-03	 2.0750e+02
 6.5000e-03	 2.2050e+02
 7.5000e-03	 2.3150e+02
 8.5000e-03	 2.4050e+02
 9.5000e-03	 2.4750e+02
 1.0500e-02	 2.5250e+02
 1.1500e-02	 2.5550e+02
 1.2500e-02	 2.5650e+02
 1.3500e-02	 2.5550e+02
 1.4500e-02	 2.5250e+02
 1.5500e-02	 2.4750e+02
 1.6500e-02	 2.4050e+02
 1.7500e-02	 2.3150e+02
 1.8500e-02	 2.2050e+02
 1.9500e-02	 2.0750e+02
 2.0000e-02	 2.0000e+02
