  0.00e+00	  0.00e+00	0.00000e+00
  0.00e+00	  5.00e-03	2.11704e-01
  0.00e+00	  1.00e-02	2.42949e-01
  0.00e+00	  1.50e-02	2.19363e-01
  0.00e+00	  2.00e-02	1.82799e-01
  0.00e+00	  2.50e-02	1.47117e-01
  0.00e+00	  3.00e-02	1.16077e-01
  0.00e+00	  3.50e-02	8.99145e-02
  0.00e+00	  4.00e-02	6.78047e-02
  0.00e+00	  4.50e-02	4.87483e-02
  0.00e+00	  5.00e-02	3.18349e-02
  0.00e+00	  5.50e-02	1.62854e-02
  0.00e+00	  6.00e-02	1.42292e-03
  0.00e+00	  6.50e-02	-1.33737e-02
  0.00e+00	  7.00e-02	-2.87201e-02
  0.00e+00	  7.50e-02	-4.52758e-02
  0.00e+00	  8.00e-02	-6.37901e-02
  0.00e+00	  8.50e-02	-8.51318e-02
  0.00e+00	  9.00e-02	-1.10252e-01
  0.00e+00	  9.50e-02	-1.39942e-01
  0.00e+00	  1.00e-01	-1.74006e-01
  0.00e+00	  1.05e-01	-2.08926e-01
  0.00e+00	  1.10e-01	-2.31594e-01
  0.00e+00	  1.15e-01	-2.02105e-01

  0.00e+00	  0.00e+00	0.00000e+00
  0.00e+00	  5.00e-03	-4.76465e-02
  0.00e+00	  1.00e-02	-2.90500e-02
  0.00e+00	  1.50e-02	-8.48448e-03
  0.00e+00	  2.00e-02	4.48740e-03
  0.00e+00	  2.50e-02	1.08771e-02
  0.00e+00	  3.00e-02	1.30346e-02
  0.00e+00	  3.50e-02	1.27569e-02
  0.00e+00	  4.00e-02	1.11467e-02
  0.00e+00	  4.50e-02	8.82188e-03
  0.00e+00	  5.00e-02	6.11801e-03
  0.00e+00	  5.50e-02	3.21984e-03
  0.00e+00	  6.00e-02	2.36841e-04
  0.00e+00	  6.50e-02	-2.75333e-03
  0.00e+00	  7.00e-02	-5.67527e-03
  0.00e+00	  7.50e-02	-8.42694e-03
  0.00e+00	  8.00e-02	-1.08385e-02
  0.00e+00	  8.50e-02	-1.26014e-02
